Name,Platform,DOIs,"Pub Dates",Citations,Code,Description,License,Categories
forest-fire-clustering,Python,10.1038/s41467-022-31107-8,2022-06-20,2,https://github.com/gersteinlab/forest-fire-clustering,"Forest Fire Clustering is an efficient and interpretable clustering method for discovering and validating cell types in single-cell sequencing analysis",MIT,Clustering
FORKS,Python,10.1101/132811,NA,1,https://github.com/macsharma/FORKS,"Finding Orderings Robustly using K-means and Steiner trees (FORKS), an algorithm that pseudo-temporally orders cells and thereby infers bifurcating state trajectories.",GPL-3.0,"Clustering, Gene Filtering, Normalisation, Ordering, Visualisation"
Fotomics,Python,"10.1007/s10462-022-10357-4, 10.1101/2022.07.08.499309","2022-12-09, NA",1,https://github.com/VafaeeLab/Fotomics-Imagification,"Fotomics: Fourier transform-based omics imagification for deep learning-based cell-identity mapping using single-cell omics profiles",GPL-3.0,"Normalisation, Transformation"
FRmatch,R,"10.1093/bib/bbaa339, 10.1101/2020.05.01.073445","2020-11-30, NA",9,https://github.com/JCVenterInstitute/FRmatch,"Cluster-to-cluster Mapping of Single Cell RNA Sequencing (scRNA-seq) Data Clusters by Friedman-Rafsky (FR) Test",MIT,"Classification, Interactive, Visualisation"
FSCAM,R,10.1007/s12539-021-00495-8,2022-01-14,0,https://github.com/YanWang-jn/FSCAM,"FSCAM enables users to easily select features from single-cell RNA sequencing",GPL-2.0-or-later,"Variable Genes"
Fugue,Python,"10.1101/2021.12.12.472307, 10.2139/ssrn.4013916","NA, 2022",0,https://github.com/xilinshen/Fugue,"A simple batch-correction method that is scalable for integrating super large-scale single-cell transcriptomes",CC0-1.0,"Dimensionality Reduction, Integration"
FUNKI,R,arxiv/2109.05796,NA,0,https://github.com/saezlab/ShinyFUNKI,"FUNKI is a multi-omic functional integration and analysis platform",AGPL-3.0,"Gene Networks, Interactive, Visualisation"
fusca,R/Java,10.1038/s41556-022-00884-1,2022-04-12,8,https://github.com/edroaldo/fusca,"Framework for Unified Single-Cell Analysis (FUSCA) is a software package for single-cell data analysis developed in R",MIT,"Cell Cycle, Clustering, Dimensionality Reduction, Gene Networks, Gene Sets, Marker Genes, Normalisation, Ordering, Variable Genes, Visualisation"
G2S3,MATLAB/R,"10.1101/2020.04.01.020586, 10.1371/journal.pcbi.1009029","NA, 2021-05-18",7,https://github.com/ZWang-Lab/G2S3,"G2S3: a Sparse and Smooth Signal of Gene Graph-based imputation method for scRNA-seq data",GPL-3.0,Imputation
GapClust,R,10.1038/s41467-021-24489-8,2021-07-07,12,https://github.com/fabotao/GapClust,"Detecting rare cells from expression profiles by single cell RNA-seq",GPL-3.0,"Clustering, Rare Cells"
Garnett,R,"10.1038/s41592-019-0535-3, 10.1101/538652","2019-09-09, NA",294,https://github.com/cole-trapnell-lab/garnett,"Garnett, an algorithm and accompanying software for rapidly annotating cell types in scRNA-seq and scATAC-seq datasets, based on an interpretable, hierarchical markup language of cell type-specific genes.",MIT,"Classification, Marker Genes, Visualisation"
gCAnno,Python,"10.1186/s12864-020-07223-4, 10.21203/rs.3.rs-36926/v1","2020-11-23, NA",0,https://github.com/xjtu-omics/gCAnno,"A graph-based single cell type annotation method",'-,Classification
GEARS,Python,"10.1038/s41587-023-01905-6, 10.1101/2022.07.12.499735","2023-08-17, NA",12,https://github.com/snap-stanford/GEARS,"GEARS, a method that can predict transcriptional response to both single and multi-gene perturbations using single-cell RNA-sequencing data from perturbational screens",MIT,"Perturbations, Visualisation"
GEDI,R/C++,10.1101/2023.08.15.553327,NA,0,https://github.com/csglab/GEDI,"A model that unifies normalization, imputation, integration, and interpretation of single-cell transcriptomics data",BSD-2-Clause,"Differential Expression, Imputation, Integration, Normalisation, Visualisation"
geneBasisR,R,"10.1101/2021.08.10.455720, 10.1186/s13059-021-02548-z","NA, 2021-12",10,https://github.com/MarioniLab/geneBasisR,"Selects an optimal targeted gene panel (based on scRNA-seq data) as a function of designated number of genes",MIT,"Differential Expression, Dimensionality Reduction, Marker Genes, Visualisation"
GeneClust,Python,10.1093/bib/bbad042,2023-02-08,0,https://github.com/ToryDeng/scGeneClust,"GeneClust is a computational feature selection method for scRNA-seq cell clustering. GeneClust groups genes into clusters from which genes are evaluated and selected with the aim of maximizing relevance, minimizing redundancy and preserving complementarity.",AGPL-3.0,"Clustering, Dimensionality Reduction, Normalisation, Variable Genes"
GenePattern,Python,10.12688/f1000research.15830.1,2018-08-16,3,https://github.com/genepattern/single_cell_clustering_notebook,"Interactive notebook workflow for pre-processing data, identification of sub-populations of cells by clustering, and exploration of biomarkers.",BSD-3-Clause,"Clustering, Dimensionality Reduction, Interactive, Marker Genes, Normalisation, Quality Control, Visualisation"
Genes2Genes,Python,10.1101/2023.03.08.531713,NA,0,https://github.com/Teichlab/Genes2Genes,"G2G aims to guide downstream comparative analysis of single-cell reference and query systems along any axis of progression",MIT,"Clustering, Gene Sets, Ordering, Visualisation"
genesorteR,R,10.1101/676379,NA,12,https://github.com/mahmoudibrahim/genesorteR,"genesorteR is an R package for single cell data analysis. It calculates a specificity score to rank all genes in each cell cluster. It can then use this ranking to find sets of marker genes or to find highly variable genes.",GPL-3.0,"Marker Genes, Visualisation"
GeneSwitches,R,10.1101/832626,NA,0,https://github.com/SGDDNB/GeneSwitches,"The goal of GeneSwitches is to discover the order of gene-expression and functional events during cell state transitions at a single-cell resolution.",'-,"Expression Patterns, Gene Sets, Transformation, Visualisation"
GeneVector,Python,10.1101/2022.04.22.487554,NA,4,https://github.com/nceglia/genevector,"Vector representations of gene co-expression in single cell RNAseq",MIT,"Dimensionality Reduction, Gene Networks, Integration"
GenKI,Python,10.1093/nar/gkad450,2023-05-29,3,https://github.com/yjgeno/GenKI,"A VGAE (Variational Graph Auto-Encoder) based model to learn perturbation using scRNA-seq data",MIT,"Dimensionality Reduction, Gene Networks, Perturbations"
genomicInstability,R,,,'-,https://github.com/reef103/genomicInstability,"This package contain functions to run genomic instability analysis (GIA) from scRNA-Seq data",Custom,"Variants, Visualisation"
geosketch,Python,"10.1016/j.cels.2019.05.003, 10.1101/536730","2019-06, NA",83,https://github.com/brianhie/geosketch,"geosketch is a Python package that implements the geometric sketching algorithm for subsampling cells",MIT,"Dimensionality Reduction"
gExcite,Snakemake/R/Python,10.1101/2022.05.23.490488,NA,0,https://github.com/ETH-NEXUS/gExcite_pipeline,"A start-to-end framework for single-cell gene expression, hashing, and antibody analysis",GPL-3.0,"Alignment, Differential Expression, Immune, Quantification, UMIs"
gficf,R,"10.1093/nargab/lqad024, 10.1101/2022.10.24.513476, 10.3389/fgene.2019.00734","2023-01-10, NA, 2019-08-09",17,https://github.com/gambalab/gficf,"An R implementation of the Gene Frequency - Inverse Cell Frequency method for single cell data normalization",GPL-3.0,"Clustering, Dimensionality Reduction, Gene Sets, Normalisation, Visualisation"
GFPA,Python,10.1016/j.compbiomed.2023.106733,2023-03,15,https://github.com/studentiz/gfpa,"A single-cell multiomics data analysis framework that analyzes the association of gene function and cell surface proteins",MIT,"Gene Networks, Integration, Visualisation"
GIANT,Python/Cython/C,10.1101/2022.08.06.503038,NA,1,https://github.com/chenhcs/GIANT,"GIANT (Gene-based data Integration and ANalysis Technique) is a method for unified analysis of atlas-level single cell data",MIT,"Dimensionality Reduction, Gene Networks, Gene Sets, Integration"
GiniClust,R/Python,10.1186/s13059-016-1010-4,2016-07-01,211,https://github.com/lanjiangboston/GiniClust,"GiniClust is a clustering method implemented in Python and R for detecting rare cell-types from large-scale single-cell gene expression data.",MIT,"Clustering, Dimensionality Reduction, Interactive, Normalisation, Rare Cells"
GiniClust2,R,"10.1101/246439, 10.1186/s13059-018-1431-3","NA, 2018-05-10",52,https://github.com/dtsoucas/GiniClust2,"GiniClust2 is a clustering algorithm for the simultaneous detection of common and rare cell types from single-cell gene expression data.",MIT,Clustering
GiniClust3,Python,"10.1101/788554, 10.1186/s12859-020-3482-1","NA, 2020-04-25",22,https://github.com/rdong08/GiniClust3,"GiniClust is a clustering method specifically designed for rare cell type detection. In this new version (GiniClust3), we have substantially increased the speed and reduced memory usage in order to meet the need for large data size.",MIT,"Clustering, Dimensionality Reduction, Rare Cells, Visualisation"
GiRAFR,Python,10.1101/2022.10.24.513352,NA,0,https://github.com/FunctionalEpigeneticsLab/GiRAFR,"GiRAFR is a python package developed to perform quality control of single cell CRISPR screens, and to assign gRNAs to cells in a sensitive, mutation-aware manner",MIT,"Quantification, UMIs, Variants"
GLM-PCA,R,"10.1101/574574, 10.1186/s13059-019-1861-6","NA, 2019-12-23",277,https://github.com/willtownes/glmpca,"Implements a generalized version of principal components analysis (GLM-PCA) for dimension reduction of non-normally distributed data such as counts or binary matrices.",LGPL-3.0,"Dimensionality Reduction"
glmGamPoi,R/C++,"10.1093/bioinformatics/btaa1009, 10.1101/2020.08.13.249623","2020-12-09, NA",89,https://github.com/const-ae/glmGamPoi,"Fit Gamma-Poisson Generalized Linear Models Reliably",GPL-3.0,"Differential Expression"
GloScope,R,10.1101/2023.05.29.542786,NA,0,https://github.com/epurdom/GloScope,"A framework for representing the entire single-cell profile of a sample",Artistic-2.0,Visualisation
GLUE,Python,"10.1038/s41587-022-01284-4, 10.1101/2021.08.22.457275","2022-05-02, NA",95,https://github.com/gao-lab/GLUE,"Graph-linked unified embedding for single-cell multi-omics data integration",MIT,"Gene Networks, Integration"
GLUER,Python,10.1101/2021.01.25.427845,NA,16,https://github.com/tanlabcode/GLUER,"inteGrative anaLysis of mUlti-omics at single-cEll Resolution",MIT,"Dimensionality Reduction, Integration, Interactive, Visualisation"
GMM-Demux,Python,"10.1101/828483, 10.1186/s13059-020-02084-2","NA, 2020-07-30",35,https://github.com/CHPGenetics/GMM-demux,"GMM-Demux removes Multi-Sample-Multiplets (MSMs) in a cell hashing dataset and estimates the fraction of Same-Sample-Multiplets (SSMs) and singlets in the remaining dataset.",MIT,"Quality Control"
GNNImpute,Python,10.1186/s12859-021-04493-x,2021-12-07,4,https://github.com/Lav-i/GNNImpute,"GNNImpute uses graph attention convolution to aggregate multi-level similar cell information and implements convolution operations on non-Euclidean space on scRNA-seq data",Apache-2.0,Imputation
GPcounts,Python,"10.1093/bioinformatics/btab486, 10.1101/2020.07.29.227207","2021-07-02, NA",24,https://github.com/ManchesterBioinference/GPcounts,"GPcounts is Gaussian process regression package for counts data with negative binomial and zero-inflated negative binomial likelihoods",Apache-2.0,"Differential Expression, Expression Patterns, Ordering, Variable Genes, Visualisation"
GPfates,Python,"10.1101/074971, 10.1126/sciimmunol.aal2192","NA, 2017-03-03",224,https://github.com/Teichlab/GPfates,"Model transcriptional cell fates as mixtures of Gaussian Processes",MIT,"Ordering, Visualisation"
GPseudoClust,MATLAB,"10.1093/bioinformatics/btz778, 10.1101/567115","2019-10-14, NA",1,https://github.com/magStra/GPseudoClust,"GPseudoClust: deconvolution of shared pseudo-trajectories at single-cell resolution",GPL-3.0,"Expression Patterns, Ordering"
GPseudoRank,MATLAB,"10.1093/bioinformatics/bty664, 10.1101/211417","2018-07-25, NA",12,https://github.com/magStra/GPseudoRank,"GPseudoRank, an algorithm sampling from a posterior distribution of pseudo-orders instead of pseudotimes, avoiding the exploration of pseudotime assignments that all map to the same ordering.",LGPL-3.0,Ordering
Granatum,Virtualbox,"10.1101/110759, 10.1186/s13073-017-0492-3","NA, 2017-12-05",56,https://gitlab.com/uhcclxgg/granatum,"This is a graphical single-cell RNA-seq (scRNA-seq) analysis pipeline for genomics scientists.",'-,"Clustering, Differential Expression, Dimensionality Reduction, Gene Filtering, Gene Networks, Gene Sets, Interactive, Normalisation, Ordering, Quality Control, Visualisation"
GrandPrix,Python,"10.1093/bioinformatics/bty533, 10.1101/227843","2018-07-02, NA",40,https://github.com/ManchesterBioinference/GrandPrix,"GrandPrix is a python package implementing the approach described in the paper ""GrandPrix: Scaling up the Bayesian GPLVM for single-cell data"" .",Apache-2.0,"Dimensionality Reduction, Ordering"
graph-sc,Python,10.1093/bioinformatics/btab787,2021-11-19,12,https://github.com/ciortanmadalina/graph-sc-package,"A method modeling scRNA-seq data as a graph, processed with a graph autoencoder network to create representations (embeddings) for each cell",MIT,"Dimensionality Reduction, Visualisation"
GraphCS,C++/Python,"10.1093/bib/bbab570, 10.1101/2021.06.24.449752","2022-01-09, NA",10,https://github.com/biomed-AI/GraphCS,"A Robust and Scalable Graph Neural Networkfor Accurate Single Cell Classification",'-,Classification
GraphEmbed,Python,10.1038/s41467-018-05988-7,2018-09-11,9,https://github.com/fabriziocosta/GraphEmbed,"Compute a 2D embedding of a data matrix given supervised class information",MIT,"Dimensionality Reduction, Visualisation"
GraphSCC,Python,"10.1101/2020.09.02.278804, 10.1109/bibm49941.2020.9313569","NA, 2020-12-16",23,https://github.com/biomed-AI/GraphSCC,"Accurately Clustering Single-cell RNA-seq data by Capturing Structural Relations between Cells through Graph Convolutional Network",Apache-2.0,Clustering
GraphSCI,Python,"10.1016/j.isci.2021.102393, 10.1101/2020.02.05.935296","2021-05, NA",43,,"Imputing Single-cell RNA-seq data by combining Graph Convolution and Autoencoder Neural Networks",'-,Imputation
GrID-Net,Python,10.1101/2023.03.02.530529,NA,0,https://github.com/alexw16/gridnet,"GrID-Net (Granger Inference on DAGs) is a graph neural network framework for Granger causal inference on directed acyclic graph (DAG)-structured dynamical systems",MIT,"Gene Networks, Integration"
GRISLI,Matlab,"10.1093/bioinformatics/btaa576, 10.1101/464479","2020-06-17, NA",57,https://github.com/PCAubin/GRISLI,"Gene Regulation Inference for Single-cell with LInear differential equations and velocity inference",'-,"Gene Networks"
GRM,R,10.1093/bioinformatics/btv122,2015-02-24,80,http://wanglab.ucsd.edu/star/GRM,"Normalization and noise reduction for singlecell RNA-seq experiments",'-,Normalisation
GRN-VAE,Python,10.1101/2023.01.26.525733,NA,0,https://github.com/TuftsBCB/grnvae,"A stablized SEM style Variational autoencoder for gene regulatory network inference",MIT,"Gene Networks"
GRNUlar,Python,"10.1089/cmb.2021.0437, 10.1101/2020.04.23.058149","2022-01-01, NA",5,https://github.com/Harshs27/GRNUlar,"Gene Regulatory Network reconstruction using Unrolled algorithms",MIT,"Gene Networks"
GRNVBEM,MATLAB,10.1093/bioinformatics/btx605,2017-09-25,87,https://github.com/mscastillo/GRNVBEM,"Gene Regulatory Network (GRN) inference from time series or pseudo-time series data using a first-order autoregressive moving average (AR1MA1) model within a variational Bayesian Expectation-Maximization (VBEM) framework.",'-,"Gene Networks"
GRouNdGAN,Python,10.1101/2023.07.25.550225,NA,0,https://github.com/Emad-COMBINE-lab/GRouNdGAN,"GRN-guided in silico simulation of single-cell RNA-seq data using Causal Generative Adversarial Networks",AGPL-3.0,Simulation
GRUFFI,R,10.15252/embj.2022111118,2022-08-02,13,https://github.com/jn-goe/gruffi,"Gruffi identifies and removes stressed cells from brain organoid single-cell datasets.",GPL-3.0,"Gene Sets, Quality Control, Visualisation"
gsdensity,R,10.1101/2023.06.21.546022,NA,0,https://github.com/qingnanl/gsdensity,"A computational tool dedicated for 'pathway centric' analysis of single-cell data",GPL-3.0,"Gene Sets"
GSEApy,Python/Rust,10.1093/bioinformatics/btac757,2022-11-25,71,https://github.com/zqfang/GSEApy,"GSEApy is a Python/Rust implementation for GSEA and wrapper for Enrichr",BSD-3-Clause,"Gene Sets, Visualisation"
GSFA,R/C++,10.1101/2022.02.13.480282,NA,2,https://github.com/gradonion/GSFA,"Bayesian sparse factor analysis on single-cell CRISPR screen data",MIT,"Normalisation, Perturbations, Variable Genes, Variants"
gssnng,Python,10.1101/2022.11.29.518384,NA,0,https://github.com/IlyaLab/gssnng,"Gene Set Scoring on the Nearest Neighbor Graph (gssnng) for Single Cell RNA-seq (scRNA-seq)",MIT,"Gene Sets"
h-tSNE,Python,"10.1101/2020.10.05.324798, 10.1371/journal.pcbi.1010351","NA, 2022-07-21",1,https://github.com/Cobanoglu-Lab/h-tSNE,"Hierarchical t-Distributed Stochastic Neighbor Embedding",'-,"Dimensionality Reduction"
hadge,Nextflow/R/Python/Shell,10.1101/2023.07.23.550061,NA,2,https://github.com/theislab/hadge,"hadge: a comprehensive pipeline for donor deconvolution in single cell",MIT,Quantification
Haisu,Python,10.1101/2020.10.05.324798,NA,1,https://github.com/Cobanoglu-Lab/Haisu,"Hierarchical Supervised Nonlinear Dimensionality Reduction",MIT,"Dimensionality Reduction"
HAL,Python,"10.1101/2021.08.01.454697, 10.1371/journal.pcbi.1010349","NA, 2022-10-03",2,https://github.com/alexandreday/HAL,"Uses supervised linkage methods to build a cluster hierarchy on raw single-cell data",'-,"Classification, Clustering, Visualisation"
HARISSA,Python,10.1101/2022.06.19.496754,NA,1,https://github.com/ulysseherbach/harissa,"HARtree approximation for Inference along with a Stochastic Simulation Algorithm, a Python package for inferring gene regulatory networks from single-cell data",BSD-3-Clause,"Gene Networks, Simulation"
Harmony,R/C++,"10.1038/s41592-019-0619-0, 10.1101/461954","2019-11-18, NA",2649,https://github.com/immunogenomics/harmony,"Algorithm that projects cells into a shared embedding in which cells group by cell type rather than dataset-specific conditions.",GPL-3.0,"Dimensionality Reduction, Integration"
hbfm,R/C++,10.1186/s12859-020-03707-y,2020-08-18,10,https://github.com/mnsekula/hbfm,"hbfm is an R package for performing gene co-expression analysis in discrete single-cell RNA sequencing data",GPL-2.0-or-later,"Gene Networks"
HD-AE,Python,10.1101/2021.04.13.439707,NA,0,https://github.com/suinleelab/HD-AE,"HD-AE (the Hilbert-Schmidt Deconfounded Autoencoder) is a package for producing generalizable (i.e., across labs, technologies, etc.) embedding models for scRNA-seq data",GPL-3.0,"Dimensionality Reduction, Integration"
HDMC,Python,10.1093/bioinformatics/btab821,2021-12-04,6,https://github.com/zhanglabNKU/HDMC,"A novel deep learning based framework for batch effect removal in scRNA-seq data",'-,Integration
HGC,R/C++,"10.1093/bioinformatics/btab420, 10.1101/2021.02.07.430106","2021-06-07, NA",8,https://github.com/stevenhuakui/HGC,"HGC is an R package for conducting fast hierarchical clustering on large-scale single-cell RNA sequencing (scRNA-seq) datasets",GPL-2.0-or-later,Clustering
HiDeF,Python,"10.1101/2020.06.16.151555, 10.1186/s13059-020-02228-4","NA, 2021-01-07",24,https://github.com/fanzheng10/HiDeF,"HiDeF is an analysis framework to robustly resolve the hierarchical structures of networks based on multiscale community detection and the concepts of persistent homology",BSD-3-Clause,Clustering
hierarchicell,R,10.1186/s12864-021-07635-w,2021-05-01,6,https://github.com/kdzimm/hierarchicell,"An R package for simulating cell-type specific and hierarchical single-cell expression data",CC0-1.0,Simulation
HieRFIT,R,"10.1093/bioinformatics/btab499, 10.1101/2020.09.16.300822","2021-07-13, NA",5,https://github.com/yasinkaymaz/HieRFIT,"Hierarchical Random Forest for Information Transfer",GPL-3.0,"Classification, Visualisation"
HIPPO,R,10.1101/2020.03.31.018911,NA,1,https://github.com/tk382/HIPPO,"Single cell UMI analysis tool that focuses on zero-inflation to detect biological heterogeneity.",GPL-2.0-or-later,"Differential Expression, Dimensionality Reduction, Imputation, Visualisation"
HocusPocus,R,,,'-,https://github.com/joeburns06/hocuspocus,"Basic PCA-based workflow for analysis and plotting of single cell RNA-seq data.",'-,Visualisation
HoneyBADGER,R,10.1101/gr.228080.117,2018-06-13,149,https://github.com/JEFworks/HoneyBADGER,"hidden Markov model integrated Bayesian approach for detecting CNV and LOH events from single-cell RNA-seq data",GPL-3.0,"Variants, Visualisation"
HopLand,MATLAB,10.1093/bioinformatics/btx232,2017-07-12,31,https://github.com/NetLand-NTU/HopLand,"Single-cell pseudotime recovery using continuous Hopfield network based modeling of Waddington’s epigenetic landscape",'-,"Ordering, Visualisation"
Hopper,Python,,,'-,https://github.com/bendemeo/hopper,"Hopper is a mathematically motivated sketching algorithm for single-cell data, which preserves transcriptional diversity using a farthest-first traversal on the data.",'-,"Expression Patterns"
Hotspot,Python,"10.1016/j.cels.2021.04.005, 10.1101/2020.02.06.937805","2021-05, NA",64,https://github.com/Yoseflab/Hotspot,"Hotspot is a tool for identifying informative genes (and gene modules) in a single-cell dataset",MIT,"Gene Sets, Marker Genes, Visualisation"
HPL,Python,"10.1038/s41467-021-23196-8, 10.1101/2020.03.27.010124","2021-05-14, NA",16,https://github.com/lcmmichielsen/hierarchicalprogressivelearning,"A hierarchical progressive learning method which automatically finds relationships between cell populations across multiple datasets and uses this to construct a hierarchical classification tree",MIT,Classification
hscScore,Python,10.1016/j.exphem.2019.08.009,2019-10,31,https://github.com/fionahamey/hscScore,"A method for identifying haematopoietic stem cells (HSCs) in scRNA-seq data",'-,"Classification, Stem Cells"
hsslda,R,"10.1016/j.patter.2022.100536, 10.1101/2022.01.06.475279","2022-06, NA",9,https://github.com/mamouzgar/hsslda,"LDA with Hybrid Subset Selection",GPL-3.0,"Dimensionality Reduction, Marker Genes"
HTOreader,R,10.1101/2023.04.02.535299,NA,3,https://github.com/WilsonImmunologyLab/HTOreader,"An R toolkit for cell hashing (HTO) demultiplexing",GPL-3.0,"Quantification, Variants, Visualisation"
HurdleNormal,R,"10.1214/18-AOAS1213, arxiv/1610.05857","2019-06-01, NA",17,https://github.com/amcdavid/HurdleNormal,"Estimation and sampling of high-dimensional undirected co-expression networks for single cell RNAseq experiments.  Based on a multivariate Normal hurdle model.",GPL-3.0,"Gene Networks"
hypercluster,Python,"10.1101/2020.01.13.905323, 10.1186/s12859-020-03774-1","NA, 2020-09-29",8,https://github.com/liliblu/hypercluster,"hypercluster, a python package and SnakeMake pipeline for flexible and parallelized clustering evaluation and selection",BSD-3-Clause,"Clustering, Visualisation"
I-Impute,Python/R,"10.1101/772723, 10.1186/s12864-020-07007-w","NA, 2020-11-18",5,https://github.com/xikanfeng2/I-Impute,"I-Impute: a coherent strategy to impute single-cell RNA sequencing data",MIT,"Dimensionality Reduction, Imputation"
i2dash,R,"10.1016/j.gpb.2021.01.007, 10.1101/2020.07.06.189563","2021-07, NA",1,https://gitlab.gwdg.de/loosolab/software/i2dash,"The R package i2dash provides functionality to create customized, web-based dashboards for data presentation, exploration and sharing.",MIT,"Interactive, Visualisation"
iasva,R,"10.1038/s41598-018-35365-9, 10.1101/151217","2018-11-19, NA",7,https://github.com/UcarLab/iasva,"Iteratively Adjusted Surrogate Variable Analysis (IA-SVA) is a statistical framework to uncover hidden sources of variation even when these sources are correlated with the biological variable of interest.",GPL-2.0,"Dimensionality Reduction, Marker Genes, Normalisation"
Ibex,R,10.1101/2022.11.09.515787,NA,0,https://github.com/ncborcherding/Ibex,"Using BCR sequences for graph embedding",GPL-2.0,"Dimensionality Reduction, Immune"
IBMR,R/C++,arxiv/2111.12149,NA,0,https://github.com/keshav-motwani/IBMR,"Integrative Binned Multinomial Regression",'-,"Classification, Simulation"
IBRAP,R,"10.1093/bib/bbad061, 10.1101/2022.09.26.509481","2023-02-27, NA",0,https://github.com/connorhknight/IBRAP,"IBRAP is an R-based package that has integrated many scRNA-seq analytical methods into a single pipeline",GPL-3.0,"Cell Cycle, Classification, Clustering, Differential Expression, Gene Sets, Integration, Normalisation, Ordering, Quality Control, Variable Genes, Visualisation"
iBRIDGE,R,10.1158/2326-6066.CIR-22-0283,2023-04-06,0,https://github.com/tolgaturan-github/IBRIDGE,"Can integrate and bridge between bulk and single-cell gene expression data types to quantify T cell infiltration levels",'-,"Classification, Gene Sets, Immune, Integration, Normalisation"
ICAnet,R,10.1093/nar/gkab089,2021-02-22,13,https://github.com/WWXkenmo/ICAnet,"Independent Component Analysis based gene co-expression Network inference",'-,"Dimensionality Reduction, Gene Networks, Integration, Visualisation"
ICARUS,R,"10.1093/nar/gkac322, 10.1093/nargab/lqad032, 10.1101/2023.01.23.525100","2022-05-10, 2022-06-01, NA",14,https://github.com/Enjewl/ICARUS,"Welcome to ICARUS (Interactive single Cell RNA-seq Analysis with R shiny Using Seurat)",MIT,"Cell Cycle, Classification, Differential Expression, Dimensionality Reduction, Gene Networks, Gene Sets, Imputation, Interactive, Marker Genes, Quality Control, Variants, Visualisation"
ICAT,Python,"10.1093/bioinformatics/btad278, 10.1101/2022.05.26.493603","2023-04-22, NA",1,https://github.com/BradhamLab/icat,"ICAT is a tool developed to better identify cell states in scRNAseq experiments where perturbations or some other biologic heterogeneity is present, such as gene knock-outs",BSD-3-Clause,"Clustering, Perturbations"
ICELLNET,R,"10.1038/s41467-021-21244-x, 10.1101/2020.03.05.976878","2021-02-17, NA",94,https://github.com/soumelis-lab/ICELLNET,"A transcriptome-based framework to dissect intercellular communication",GPL-3.0,"Gene Networks, Visualisation"
iCellR,R,"10.1101/2020.03.31.019109, 10.1101/2020.05.05.078550","NA, NA",8,https://github.com/rezakj/iCellR,"iCellR is an interactive R package to work with high-throughput single cell sequencing technologies (i.e scRNA-seq, scVDJ-seq and CITE-seq)",GPL-2.0,"Cell Cycle, Clustering, Differential Expression, Dimensionality Reduction, Imputation, Integration, Marker Genes, Normalisation, Quality Control, Visualisation"
iDEA,R/C++,10.1038/s41467-020-15298-6,2020-03-27,34,https://github.com/xzhoulab/iDEA,"Integrative Differential expression and gene set Enrichment Analysis using summary statistics for single cell RNA-seq studies",GPL-3.0,"Gene Sets"
IDEAS,R,"10.1101/2021.05.10.443350, 10.1186/s13059-022-02605-1","NA, 2022-01-24",16,https://github.com/Sun-lab/ideas,"Individual level Differential Expression Analysis for Single cells",MIT,"Differential Expression"
IEntropy,R,10.1093/jmcb/mjac008,2022-01-31,5,https://github.com/LinLi-0909/IEntropy,"A feature selection method, intrinsic entropy (IE) model, to identify the informative genes for accurately clustering analysis",'-,"Variable Genes"
IKAP,R,"10.1093/gigascience/giz121, 10.1101/596817","2019-10-01, NA",13,https://github.com/NHLBI-BCB/IKAP,"IKAP – Identifying K mAjor cell Population groups in single-cell RNA-seq analysis",MIT,"Clustering, Marker Genes, Visualisation"
ikarus,Python,"10.1101/2021.10.15.463909, 10.1186/s13059-022-02683-1","NA, 2022-05-30",14,https://github.com/BIMSBbioinfo/ikarus,"Ikarus is a stepwise machine learning pipeline that tries to cope with a task of distinguishing tumor cells from normal cells",MIT,"Classification, Variants"
Ikura,Shell,10.1038/s41590-019-0465-3,2019-08-20,58,https://github.com/juugii/ikura,"A pipeline for primary analysis of single cell experiments: quality controls and trimming, demultiplexing, cell calling and transcript quantification",'-,"Alignment, Quality Control, Quantification, UMIs"
ILoReg,R,"10.1093/bioinformatics/btaa919, 10.1101/2020.01.20.912675","2020-12-13, NA",4,https://github.com/elolab/iloreg,"ILoReg is a tool for high-resolution cell population identification from single-cell RNA-seq (scRNA-seq) data. High-resolution refers to the ability of ILoReg to identify subpopulations with subtle transcriptomic differences.",GPL-3.0,"Clustering, Rare Cells"
iMAP,Python,10.1186/s13059-021-02280-8,2021-02-18,22,https://github.com/Svvord/iMAP,"Integration of multiple single-cell datasets by adversarial paired transfer networks",'-,Integration
ImmClassifier,R/Python,"10.1093/bib/bbab039, 10.1101/2020.03.23.002758","2021-03-03, NA",10,https://github.com/xliu-uth/ImmClassifier,"Knowledge-based and lineage-driven immune cell classification in single-cell RNA-Seq data",GPL-3.0,"Classification, Immune"
immunarch,R/C++,,,'-,https://github.com/immunomind/immunarch,"Fast and Seamless Exploration of Single-cell and Bulk T-cell/Antibody Immune Repertoires in R",AGPL-3.0,"Immune, Visualisation"
ImSpectR,R,,,'-,https://github.com/martijn-cordes/ImSpectR,"With this package .fsa intensity files or files with sequencing lengths representing the CDR3 region of T-cell receptors can be loaded, visualized and scored for quantification of the immune repertoire.",MIT,"Quantification, Visualisation"
IndepthPathway,R,"10.1093/bioinformatics/btad325, 10.1101/2022.08.28.505179","2023-05-27, NA",1,https://github.com/wangxlab/IndepthPathway,"IndepthPathway: an integrated tool for in-depth pathway enrichment analysis based on bulk and single cell sequencing data",GPL-3.0,"Gene Sets, Visualisation"
